date,symbol,F_mom121,F_er20,F_idiovol60,F_obv20,composite,rank
2025-01-08,EDC,,,,,0.5,6.0
2025-01-08,ERX,,,,,0.5,7.0
2025-01-08,EURL,,,,,0.5,8.0
2025-01-08,FAS,,,,,0.5,9.0
2025-01-08,KORU,,,,,0.5,10.0
2025-01-08,LABU,,,,,0.5,11.0
2025-01-08,MEXX,,,,,0.5,12.0
2025-01-08,RETL,,,,,0.5,13.0
2025-01-08,SOXL,,,,,0.5,14.0
2025-01-08,TECL,,,,,0.5,15.0
2025-01-08,TMF,,,,,0.5,16.0
2025-01-08,TNA,,,,,0.5,17.0
2025-01-08,TQQQ,,,,,0.5,18.0
2025-01-08,TYD,,,,,0.5,19.0
2025-01-08,UCO,,,,,0.5,20.0
2025-01-08,UDOW,,,,,0.5,21.0
2025-01-08,UGL,,,,,0.5,22.0
2025-01-08,UPRO,,,,,0.5,23.0
2025-01-08,UTSL,,,,,0.5,24.0
2025-01-08,UUP,,,,,0.5,25.0
2025-01-08,UVXY,,,,,0.5,26.0
2025-01-08,UYM,,,,,0.5,27.0
2025-01-08,YINN,,,,,0.5,28.0
2025-01-10,AGQ,,,,,0.5,1.0
2025-01-10,BOIL,,,,,0.5,2.0
2025-01-10,CHAU,,,,,0.5,3.0
2025-01-10,DRN,,,,,0.5,4.0
2025-01-10,DUSL,,,,,0.5,5.0
2025-01-10,EDC,,,,,0.5,6.0
2025-01-10,ERX,,,,,0.5,7.0
2025-01-10,EURL,,,,,0.5,8.0
2025-01-10,FAS,,,,,0.5,9.0
2025-01-10,KORU,,,,,0.5,10.0
2025-01-10,LABU,,,,,0.5,11.0
2025-01-10,MEXX,,,,,0.5,12.0
2025-01-10,RETL,,,,,0.5,13.0
2025-01-10,SOXL,,,,,0.5,14.0
2025-01-10,TECL,,,,,0.5,15.0
2025-01-10,TMF,,,,,0.5,16.0
2025-01-10,TNA,,,,,0.5,17.0
2025-01-10,TQQQ,,,,,0.5,18.0
2025-01-10,TYD,,,,,0.5,19.0
2025-01-10,UCO,,,,,0.5,20.0
2025-01-10,UDOW,,,,,0.5,21.0
2025-01-10,UGL,,,,,0.5,22.0
2025-01-10,UPRO,,,,,0.5,23.0
2025-01-10,UTSL,,,,,0.5,24.0
2025-01-10,UUP,,,,,0.5,25.0
2025-01-10,UVXY,,,,,0.5,26.0
2025-01-10,UYM,,,,,0.5,27.0
2025-01-10,YINN,,,,,0.5,28.0
2025-01-13,AGQ,,,,,0.5,1.0
2025-01-13,BOIL,,,,,0.5,2.0
2025-01-13,CHAU,,,,,0.5,3.0
2025-01-13,DRN,,,,,0.5,4.0
2025-01-13,DUSL,,,,,0.5,5.0
2025-01-13,EDC,,,,,0.5,6.0
2025-01-13,ERX,,,,,0.5,7.0
2025-01-13,EURL,,,,,0.5,8.0
2025-01-13,FAS,,,,,0.5,9.0
2025-01-13,KORU,,,,,0.5,10.0
2025-01-13,LABU,,,,,0.5,11.0
2025-01-13,MEXX,,,,,0.5,12.0
2025-01-13,RETL,,,,,0.5,13.0
2025-01-13,SOXL,,,,,0.5,14.0
2025-01-13,TECL,,,,,0.5,15.0
2025-01-13,TMF,,,,,0.5,16.0
2025-01-13,TNA,,,,,0.5,17.0
2025-01-13,TQQQ,,,,,0.5,18.0
2025-01-13,TYD,,,,,0.5,19.0
2025-01-13,UCO,,,,,0.5,20.0
2025-01-13,UDOW,,,,,0.5,21.0
2025-01-13,UGL,,,,,0.5,22.0
2025-01-13,UPRO,,,,,0.5,23.0
2025-01-13,UTSL,,,,,0.5,24.0
2025-01-13,UUP,,,,,0.5,25.0
2025-01-13,UVXY,,,,,0.5,26.0
2025-01-13,UYM,,,,,0.5,27.0
2025-01-13,YINN,,,,,0.5,28.0
2025-01-14,AGQ,,,,,0.5,1.0
2025-01-14,BOIL,,,,,0.5,2.0
2025-01-14,CHAU,,,,,0.5,3.0
2025-01-14,DRN,,,,,0.5,4.0
2025-01-14,DUSL,,,,,0.5,5.0
2025-01-14,EDC,,,,,0.5,6.0
2025-01-14,ERX,,,,,0.5,7.0
2025-01-14,EURL,,,,,0.5,8.0
2025-01-14,FAS,,,,,0.5,9.0
2025-01-14,KORU,,,,,0.5,10.0
2025-01-14,LABU,,,,,0.5,11.0
2025-01-14,MEXX,,,,,0.5,12.0
2025-01-14,RETL,,,,,0.5,13.0
2025-01-14,SOXL,,,,,0.5,14.0
2025-01-14,TECL,,,,,0.5,15.0
2025-01-14,TMF,,,,,0.5,16.0
2025-01-14,TNA,,,,,0.5,17.0
2025-01-14,TQQQ,,,,,0.5,18.0
2025-01-14,TYD,,,,,0.5,19.0
2025-01-14,UCO,,,,,0.5,20.0
2025-01-14,UDOW,,,,,0.5,21.0
2025-01-14,UGL,,,,,0.5,22.0
2025-01-14,UPRO,,,,,0.5,23.0
2025-01-14,UTSL,,,,,0.5,24.0
2025-01-14,UUP,,,,,0.5,25.0
2025-01-14,UVXY,,,,,0.5,26.0
2025-01-14,UYM,,,,,0.5,27.0
2025-01-14,YINN,,,,,0.5,28.0
2025-01-15,AGQ,,,,,0.5,1.0
2025-01-15,BOIL,,,,,0.5,2.0
2025-01-15,CHAU,,,,,0.5,3.0
2025-01-15,DRN,,,,,0.5,4.0
2025-01-15,DUSL,,,,,0.5,5.0
2025-01-15,EDC,,,,,0.5,6.0
2025-01-15,ERX,,,,,0.5,7.0
2025-01-15,EURL,,,,,0.5,8.0
2025-01-15,FAS,,,,,0.5,9.0
2025-01-15,KORU,,,,,0.5,10.0
2025-01-15,LABU,,,,,0.5,11.0
2025-01-15,MEXX,,,,,0.5,12.0
2025-01-15,RETL,,,,,0.5,13.0
2025-01-15,SOXL,,,,,0.5,14.0
2025-01-15,TECL,,,,,0.5,15.0
2025-01-15,TMF,,,,,0.5,16.0
2025-01-15,TNA,,,,,0.5,17.0
2025-01-15,TQQQ,,,,,0.5,18.0
2025-01-15,TYD,,,,,0.5,19.0
2025-01-15,UCO,,,,,0.5,20.0
2025-01-15,UDOW,,,,,0.5,21.0
2025-01-15,UGL,,,,,0.5,22.0
2025-01-15,UPRO,,,,,0.5,23.0
2025-01-15,UTSL,,,,,0.5,24.0
2025-01-15,UUP,,,,,0.5,25.0
2025-01-15,UVXY,,,,,0.5,26.0
2025-01-15,UYM,,,,,0.5,27.0
2025-01-15,YINN,,,,,0.5,28.0
2025-01-16,AGQ,,,,,0.5,1.0
2025-01-16,BOIL,,,,,0.5,2.0
2025-01-16,CHAU,,,,,0.5,3.0
2025-01-16,DRN,,,,,0.5,4.0
2025-01-16,DUSL,,,,,0.5,5.0
2025-01-16,EDC,,,,,0.5,6.0
2025-01-16,ERX,,,,,0.5,7.0
