"代码","名称","最新价","涨跌额","涨跌幅","市值","成交量","成交额","买入价","卖出价","买量","卖量","今开","昨收","最高","最低","量比","委比","振幅","市盈率(静)","换手率","涨跌速率","5分钟涨跌幅","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今","所属行业"
"TLX","Telix Pharmaceuticals","12.590","+0.085","+0.68%","4265203046.91","187396","2366410.00","11.750","12.950","500","7000","12.730","12.505","12.800","12.550","0.29","-86.67%","2.00%","亏损","0.07%","-0.08%","-0.30%","+11.51%","+7.24%","+1.37%","+15.50%","+36.85%","+26.15%","+68.09%","生物技术"
"TGS","阿根廷南部燃气","28.320","-0.820","-2.81%","4263638643.84","209340","5971388.00","28.000","28.790","300","100","28.840","29.140","28.910","28.250","0.69","50.00%","2.26%","15.299","0.67%","0.18%","+0.05%","-4.52%","-1.87%","+0.71%","-3.80%","-17.60%","+37.48%","-8.91%","综合油气"
"FHI","Federated Hermes","57.100","+0.740","+1.31%","4263102045.10","2464861","140547537.00","0.000","0.000","0","0","56.370","56.360","57.320","55.860","3.15","0.00%","2.59%","11.130","3.45%","0.14%","-0.09%","-4.15%","-8.14%","-9.55%","+1.89%","+3.30%","+11.25%","+11.83%","资产管理"
"DIOD","Diodes","92.370","+1.580","+1.74%","4253795990.85","705928","65000308.00","91.210","95.000","200","500","92.200","90.790","92.430","90.250","1.29","-42.86%","2.40%","64.594","1.56%","0.11%","+0.96%","-2.78%","+2.70%","+1.80%","-18.29%","+35.44%","+71.25%","+87.21%","半导体"
"VNT","Vontier","31.360","-0.460","-1.45%","4239872000.00","2881909","90507702.00","31.170","33.750","300","100","31.780","31.820","31.930","31.310","2.06","50.00%","1.95%","11.362","2.15%","0.03%","-0.22%","-2.52%","-5.03%","-4.35%","+3.75%","-10.53%","-27.31%","-15.46%","科技仪器"
"LBTYB","自由全球-B","12.420","-0.055","-0.44%","4236307569.72","3512","43793.00","5.000","19.980","200","200","13.005","12.475","13.005","12.370","6.63","0.00%","5.09%","亏损","0.00%","0.00%","0.00%","-1.82%","-5.52%","-4.83%","-5.91%","-8.00%","+6.98%","+5.12%","电信服务"
"PARR","Par Pacific","84.370","-2.120","-2.45%","4226905529.99","2153782","182316202.00","83.700","86.050","300","100","86.160","86.490","87.720","83.380","2.24","50.00%","5.02%","11.783","4.42%","-0.04%","-0.04%","-0.33%","+2.92%","+16.45%","+64.59%","+28.48%","+141.26%","+140.10%","油气炼制与销售"
"FELE","富兰克林电子","95.510","-0.690","-0.72%","4222636926.64","1164333","111297040.00","90.250","153.450","200","200","96.200","96.200","96.880","95.410","3.74","0.00%","1.53%","29.661","3.07%","-0.06%","-0.15%","-2.37%","-3.79%","-7.51%","-8.70%","+6.16%","+1.28%","+0.78%","专用工业机械"
"GFF","格里丰","93.220","+0.200","+0.22%","4222373425.52","841749","78320620.00","85.010","104.350","100","100","92.400","93.020","93.250","91.330","2.05","0.00%","2.06%","85.522","1.99%","0.46%","+0.17%","-2.93%","-4.63%","-6.69%","-1.51%","+32.82%","+24.21%","+27.50%","建筑产品与设备"
"NWE","NorthWestern","68.470","-0.830","-1.20%","4212127189.50","770244","52804436.00","68.460","110.030","400","200","69.230","69.300","69.230","67.830","1.75","33.33%","2.02%","23.289","1.26%","0.07%","-0.15%","-1.11%","-3.43%","-3.30%","-3.67%","+6.98%","+26.90%","+9.20%","受监管电力"
"FBP","第一银行","27.580","+0.060","+0.22%","4210590831.44","5000356","137808776.00","27.050","27.840","100","100","27.490","27.520","27.615","27.270","3.57","0.00%","1.25%","12.827","3.36%","-0.02%","+0.09%","-0.40%","-3.06%","-1.57%","+5.14%","+34.27%","+29.10%","+36.34%","地区银行"
"SUNC","SunocoCorp","81.400","+1.040","+1.29%","4193499917.20","369213","29985769.00","76.000","81.900","400","100","80.360","80.360","81.530","79.950","0.68","60.00%","1.97%","亏损","0.72%","0.18%","-0.05%","+0.30%","+4.56%","+6.13%","+30.34%","+33.63%","+71.38%","+72.98%","油气中游"
"KFY","光辉国际咨询顾问","76.780","-0.340","-0.44%","4189028579.78","1785659","137018792.00","76.500","76.700","200","500","77.220","77.120","77.220","76.070","3.41","-42.86%","1.49%","14.708","3.30%","0.21%","+0.56%","-1.04%","-10.29%","-9.23%","+9.57%","+24.12%","+8.31%","+18.24%","人力资源与就业服务"
"OPLN","Openlane","34.270","+0.010","+0.03%","4183334273.55","2568457","87906678.00","33.640","34.840","100","100","34.230","34.260","34.270","33.850","2.58","0.00%","1.23%","亏损","2.29%","0.32%","+0.44%","-2.86%","-1.81%","+0.23%","-13.04%","+28.11%","+17.81%","+15.08%","汽车和卡车经销"
"UCB","美国社区银行","34.690","+0.050","+0.14%","4182764199.07","1715542","59428496.00","0.000","36.000","0","300","34.580","34.640","34.750","34.320","1.85","-100.00%","1.24%","13.240","1.43%","0.00%","-0.12%","-0.97%","-1.25%","-1.64%","+1.15%","+13.81%","+10.99%","+13.69%","地区银行"
"DLO","DLocal","14.210","-0.150","-1.04%","4181564379.93","1532037","21794718.00","14.100","14.500","100","4500","14.285","14.360","14.390","14.155","1.12","-95.65%","1.64%","21.861","1.56%","0.11%","-0.14%","-4.37%","-9.95%","-0.91%","+15.72%","+17.79%","-3.59%","+2.21%","软件基础设施"
"GEO","GEO惩教集团","31.760","-0.380","-1.18%","4180237987.84","3358714","106577107.00","31.800","32.050","8100","700","32.250","32.140","32.390","31.270","1.42","84.09%","3.48%","17.450","2.92%","0.09%","+0.41%","+0.86%","+2.85%","+0.13%","+8.10%","+90.07%","+45.62%","+97.02%","安全与保护"
"BFH","Bread Financial","108.530","+0.320","+0.30%","4169643156.04","1372493","148695683.00","75.530","123.000","100","100","107.620","108.210","108.630","106.650","2.34","0.00%","1.83%","9.966","3.64%","-0.11%","+0.02%","+2.03%","-0.24%","+5.41%","+3.68%","+51.19%","+72.96%","+47.73%","信贷"
"CAR","安飞士","117.710","+2.470","+2.14%","4158194503.34","1290655","151244522.00","112.000","117.900","100","200","114.980","115.240","119.850","112.360","3.17","-33.33%","6.50%","亏损","8.69%","-1.49%","+1.89%","-3.31%","-15.02%","-18.25%","-32.85%","-20.71%","-25.34%","-8.27%","租赁服务"
"CATY","国泰万通金控","62.250","+0.230","+0.37%","4152935295.00","1594972","99132999.00","60.600","63.380","100","200","61.700","62.020","62.350","61.390","3.61","-33.33%","1.55%","13.711","2.52%","0.08%","+0.02%","+0.39%","-0.53%","+0.34%","+1.64%","+29.07%","+29.89%","+31.24%","地区银行"
"PRIM","Primoris Services","77.130","+0.540","+0.71%","4152087381.51","2827952","217892289.00","76.010","79.800","200","300","77.460","76.590","77.850","75.615","1.96","-20.00%","2.92%","15.364","5.32%","0.18%","-0.35%","+2.46%","+4.81%","-2.66%","-16.72%","-46.17%","-39.97%","-37.78%","建筑工程"
"TDS","电话和数据系统","35.900","-0.170","-0.47%","4132664400.00","2898154","104358166.00","30.530","38.000","100","600","35.890","36.070","36.500","35.790","1.91","-71.43%","1.97%","亏损","3.23%","0.47%","-0.22%","-4.06%","-4.98%","+3.54%","-4.29%","-14.20%","-5.09%","-12.18%","电信服务"
